ID,ProductName,SuitableAges,SuitableGender,Category,Price,SellerName,ProductDescription
1,Men's Running Shoes,18-24,Male,Sports,85.00,SportyPro,"Lightweight shoes for jogging and gym sessions."
2,Wireless Earbuds,18-24,Male,Electronics,59.00,SonicGear,"Compact earbuds with noise cancellation feature."
3,Science Fiction Novel,18-24,Male,Books,22.00,PageTurners,"Thrilling futuristic adventures in one volume."
4,Designer Silk Scarf,18-24,Female,Fashion,55.00,Fashionista,"Luxurious silk scarf with vibrant patterns."
5,Facial Cleansing Brush,18-24,Female,Beauty,40.00,SkinGlow,"Deep-cleaning brush for radiant skin."
6,Men's Hiking Backpack,18-24,Male,Sports,140.00,TrailMaster,"Durable and lightweight for outdoor adventures."
7,Classic Leather Handbag,25-34,Female,Fashion,120.00,UrbanStyle,"Elegant leather handbag perfect for daily use."
8,Smartphone X200,25-34,Male,Electronics,699.00,TechWorld,"Latest model with high-resolution display and powerful processor."
9,Men's Formal Suit,25-34,Male,Fashion,350.00,ElegantWear,"Tailored-fit suit for business and formal occasions."
10,Perfume Gift Set,25-34,Female,Beauty,75.00,ScentAura,"Elegant fragrance set for special occasions."
11,Beard Grooming Kit,25-34,Male,Beauty,35.00,GroomRight,"Complete set for beard trimming and care."
12,Adjustable Dumbbell Set,25-34,Male,Sports,220.00,StrongGear,"Space-saving design with multiple weight options."
13,Women's Evening Dress,25-34,Female,Fashion,200.00,StyleHouse,"Elegant gown suitable for formal events."
14,Wooden Coffee Table,35-44,Female,Home,250.00,FurniCraft,"Minimalist wooden coffee table with modern design."
15,Yoga Mat Pro,35-44,Female,Sports,40.00,FlexFit,"Non-slip yoga mat for fitness and relaxation."
16,Luxury Wristwatch,35-44,Male,Fashion,499.00,TimeMaster,"Sophisticated design with stainless steel strap."
17,Smart Home Speaker,35-44,Male,Electronics,129.00,SoundHub,"Voice-controlled device with AI assistant."
18,Women's Office Blazer,35-44,Female,Fashion,110.00,WorkChic,"Professional blazer for workplace elegance."
19,Modern Floor Lamp,35-44,Female,Home,175.00,DecoLight,"Sleek floor lamp with warm LED lighting."
20,Herbal Hair Oil,35-44,Female,Beauty,25.00,NatureCare,"Strengthens hair and prevents damage."
21,Fitness Tracker Watch,45-54,Female,Health,120.00,WellFit,"Track steps, heart rate, and sleep quality."
22,Electric Blender,45-54,Female,Home,95.00,KitchenPro,"High-speed blender suitable for smoothies and sauces."
23,Home Treadmill,45-54,Male,Sports,899.00,FitHome,"Foldable treadmill for home workouts."
24,Noise-Canceling Headphones,45-54,Male,Electronics,199.00,AudioMax,"Immersive sound with active noise cancellation."
